"id","nom","conservation"
"326045","Bouillon","congelo"
"326049","Escalope de poulet","congelo"
"326050","Filets de poulet","congelo"
"326055","Equitable  mélange Saveur & Monde Grains","tablette"
"326078","Yirgacheffe  Noir MOUTURE FILTRE","tablette"
"326084","Grosse tortue chocolat noir","tablette"
"326085","Souris chocolat au lait 33%","tablette"
"326088","Fleurs des Monts","frigo"
"326096","Pain de sucre du pays (sucre dur)","tablette"
"327008","Foie de veau","congelo"
"327010","Fond de veau concentré","congelo"
"327011","(ab) Panier de 25lbs de veau et charcuterie","congelo"
"327012","Capsules de bois de velours","tablette"
"327013","Muffins canneberges et framboises","tablette"
"327017","Mousse croustillante cappuccino à l'érable","congelo"
"327025","Lekempti brun- GRAINS","tablette"
"327031","Demi poulet","congelo"
"327034","Espresso du Canton mouture pré espresso(Breville)","tablette"
"327035"," Équitable, Espresso équitable: Mouture pré  espresso (Breville)","tablette"
"327039","Poulet haché","congelo"
"327040","Pilons de poulets","congelo"
